width,height,thickness,Dep_start,Dep_end,x_shift,noise_level,thickness,amplitude,thickness_variation
256,971,2.4275,102.8425,105.27,0.25,0.1,20,15,0.05
256,981,2.4525,105.27,107.7225,0.25,0.1,20,20,0.05
256,952,2.38,107.7225,110.1025,0.25,0.1,20,25,0.05
256,936,2.34,110.1025,112.4425,0.25,0.1,25,5,0.05
256,946,2.365,112.4425,114.8075,0.25,0.1,25,10,0.05
256,956,2.39,114.8075,117.1975,0.25,0.1,25,15,0.05
256,967,2.4175,117.1975,119.615,0.25,0.1,25,20,0.05
256,977,2.4425,119.615,122.0575,0.25,0.1,25,25,0.05
256,999,2.4975,122.0575,124.555,0.5,0.1,5,5,0.05
256,998,2.495,124.555,127.05,0.5,0.1,5,10,0.05
256,998,2.495,127.05,129.545,0.5,0.1,5,15,0.05
256,999,2.4975,129.545,132.0425,0.5,0.1,5,20,0.05
256,1000,2.5,132.0425,134.5425,0.5,0.1,5,25,0.05
256,983,2.4575,134.5425,137,0.5,0.1,10,5,0.05
256,993,2.4825,137,139.4825,0.5,0.1,10,10,0.05
256,984,2.46,139.4825,141.9425,0.5,0.1,10,15,0.05
256,994,2.485,141.9425,144.4275,0.5,0.1,10,20,0.05
256,984,2.46,144.4275,146.8875,0.5,0.1,10,25,0.05
256,987,2.4675,146.8875,149.355,0.5,0.1,15,5,0.05
256,967,2.4175,149.355,151.7725,0.5,0.1,15,10,0.05
256,977,2.4425,151.7725,154.215,0.5,0.1,15,15,0.05
256,987,2.4675,154.215,156.6825,0.5,0.1,15,20,0.05
256,967,2.4175,156.6825,159.1,0.5,0.1,15,25,0.05
256,951,2.3775,159.1,161.4775,0.5,0.1,20,5,0.05
256,961,2.4025,161.4775,163.88,0.5,0.1,20,10,0.05
256,971,2.4275,163.88,166.3075,0.5,0.1,20,15,0.05
256,981,2.4525,166.3075,168.76,0.5,0.1,20,20,0.05
256,952,2.38,168.76,171.14,0.5,0.1,20,25,0.05
256,936,2.34,171.14,173.48,0.5,0.1,25,5,0.05
256,946,2.365,173.48,175.845,0.5,0.1,25,10,0.05
256,956,2.39,175.845,178.235,0.5,0.1,25,15,0.05
256,967,2.4175,178.235,180.6525,0.5,0.1,25,20,0.05
256,977,2.4425,180.6525,183.095,0.5,0.1,25,25,0.05
256,999,2.4975,183.095,185.5925,0.75,0.1,5,5,0.05
256,998,2.495,185.5925,188.0875,0.75,0.1,5,10,0.05
256,998,2.495,188.0875,190.5825,0.75,0.1,5,15,0.05
256,999,2.4975,190.5825,193.08,0.75,0.1,5,20,0.05
256,1000,2.5,193.08,195.58,0.75,0.1,5,25,0.05
256,983,2.4575,195.58,198.0375,0.75,0.1,10,5,0.05
256,993,2.4825,198.0375,200.52,0.75,0.1,10,10,0.05
256,983,2.4575,200.52,202.9775,0.75,0.1,10,15,0.05
256,993,2.4825,202.9775,205.46,0.75,0.1,10,20,0.05
256,984,2.46,205.46,207.92,0.75,0.1,10,25,0.05
256,987,2.4675,207.92,210.3875,0.75,0.1,15,5,0.05
256,967,2.4175,210.3875,212.805,0.75,0.1,15,10,0.05
256,976,2.44,212.805,215.245,0.75,0.1,15,15,0.05
256,986,2.465,215.245,217.71,0.75,0.1,15,20,0.05
256,967,2.4175,217.71,220.1275,0.75,0.1,15,25,0.05
256,951,2.3775,220.1275,222.505,0.75,0.1,20,5,0.05
256,961,2.4025,222.505,224.9075,0.75,0.1,20,10,0.05
256,972,2.43,224.9075,227.3375,0.75,0.1,20,15,0.05
256,982,2.455,227.3375,229.7925,0.75,0.1,20,20,0.05
256,953,2.3825,229.7925,232.175,0.75,0.1,20,25,0.05
256,936,2.34,232.175,234.515,0.75,0.1,25,5,0.05
256,946,2.365,234.515,236.88,0.75,0.1,25,10,0.05
256,957,2.3925,236.88,239.2725,0.75,0.1,25,15,0.05
256,967,2.4175,239.2725,241.69,0.75,0.1,25,20,0.05
256,978,2.445,241.69,244.135,0.75,0.1,25,25,0.05
